algo,arch,scale,query,time,relation,tuple,sensitivity,all_table_tstar,time_list,test pass
TSens,snap_facebook,1,q_4star_9880d9,0.311,source_686_circle_circle12,"[('c', '823'), ('b', '828')]",19,"[(source_686_circle_circle12, [('c', '823'), ('b', '828')], 19), (source_686_circle_circle0, [('b', '705'), ('a', '787')], 11), (source_686_circle_circle4, [('c', '705'), ('a', '787')], 11), (tri_source_686_circle_circle13, [('c', '698'), ('b', '719'), ('a', '697')], 1)]","[0.3567476272583008, 0.32691192626953125, 0.31249499320983887, 0.27689528465270996, 0.3037538528442383, 0.3305845260620117, 0.3282809257507324, 0.2524120807647705, 0.3101232051849365, 0.3072681427001953]",Succeeded
Elastic,snap_facebook,1,q_4star_9880d9,0.006999999999999999,source_686_circle_circle12,"[('C', '828'), ('B', '747')]",996480,"[(source_686_circle_circle12, [('C', '828'), ('B', '747')], 996480, 14), (source_686_circle_circle0, [('B', '828'), ('A', '828')], 509312, 0), (source_686_circle_circle4, [('C', '828'), ('A', '828')], 358110, 0), (tri_source_686_circle_circle13, [('C', '828'), ('B', '747'), ('A', '747')], 66240, 0)]","[0.009118318557739258, 0.0072765350341796875, 0.007198810577392578, 0.007330417633056641, 0.0072405338287353516, 0.007288455963134766, 0.007261037826538086, 0.00729680061340332, 0.007149219512939453, 0.007671833038330078]",Unknown
TSens,snap_facebook,1,q_4cycle_c5003f,0.506,source_348_circle_circle8,"[('d', '507'), ('a', '376')]",1207,"[(source_348_circle_circle8, [('d', '507'), ('a', '376')], 1207), (source_348_circle_circle13, [('c', '376'), ('d', '376')], 906), (source_348_circle_circle1, [('b', '376'), ('a', '376')], 153), (source_348_circle_circle11, [('c', '507'), ('b', '376')], 122)]","[0.5140433311462402, 0.48021435737609863, 0.5222022533416748, 0.5100018978118896, 0.5313291549682617, 0.5132598876953125, 0.4755713939666748, 0.49947404861450195, 0.5004477500915527, 0.5090939998626709]",Succeeded
Elastic,snap_facebook,1,q_4cycle_c5003f,0.008,source_348_circle_circle8,"[('D', '376'), ('A', '376')]",376200,"[(source_348_circle_circle8, [('D', '376'), ('A', '376')], 376200, 1200), (source_348_circle_circle13, [('C', '376'), ('D', '376')], 225720, 906), (source_348_circle_circle11, [('C', '376'), ('B', '376')], 148500, 114), (source_348_circle_circle1, [('B', '376'), ('A', '376')], 114000, 153)]","[0.01015925407409668, 0.007797956466674805, 0.008192777633666992, 0.00792241096496582, 0.007771968841552734, 0.007921934127807617, 0.007582664489746094, 0.007828950881958008, 0.007173299789428711, 0.007529020309448242]",Unknown
TSens,snap_facebook,1,q_4path_ad6799,0.215,source_686_circle_circle12,"[('b', '747'), ('c', '828')]",38610,"[(source_686_circle_circle12, [('b', '747'), ('c', '828')], 38610), (source_686_circle_circle4, [('c', '705'), ('d', '713')], 24570), (source_686_circle_circle0, [('b', '705')], 6826), (source_686_circle_circle9, [('d', '705')], 6261)]","[0.24793767929077148, 0.1921851634979248, 0.23131370544433594, 0.1622922420501709, 0.2293074131011963, 0.2219858169555664, 0.21806907653808594, 0.22805452346801758, 0.18767452239990234, 0.233154296875]",Succeeded
Elastic,snap_facebook,1,q_4path_ad6799,0.009000000000000001,source_686_circle_circle12,"[('C', '705'), ('B', '747')]",155520,"[(source_686_circle_circle12, [('C', '705'), ('B', '747')], 155520, 33210), (source_686_circle_circle0, [('B', '705'), ('A', '747')], 79488, 6826), (source_686_circle_circle9, [('D', '713'), ('E', '713')], 66240, 3239), (source_686_circle_circle4, [('C', '828'), ('D', '713')], 55890, 0)]","[0.01878070831298828, 0.01711297035217285, 0.010808944702148438, 0.0068776607513427734, 0.0052433013916015625, 0.005155086517333984, 0.00514531135559082, 0.005102634429931641, 0.006096839904785156, 0.006000995635986328]",Unknown
TSens,snap_facebook,1,q_4star_c31edd,0.40399999999999997,source_686_circle_circle9,"[('c', '823'), ('a', '828')]",19,"[(source_686_circle_circle9, [('c', '823'), ('a', '828')], 19), (source_686_circle_circle0, [('b', '823'), ('a', '828')], 13), (source_686_circle_circle4, [('c', '828'), ('b', '823')], 11), (tri_source_686_circle_circle13, [('c', '688'), ('b', '687'), ('a', '697')], 1)]","[0.45543432235717773, 0.3856968879699707, 0.37784504890441895, 0.40084004402160645, 0.4147968292236328, 0.3937861919403076, 0.4134244918823242, 0.38129305839538574, 0.39351987838745117, 0.4246232509613037]",Succeeded
Elastic,snap_facebook,1,q_4star_c31edd,0.008,source_686_circle_circle0,"[('B', '747'), ('A', '747')]",1195776,"[(source_686_circle_circle0, [('B', '747'), ('A', '747')], 1195776, 0), (source_686_circle_circle9, [('C', '828'), ('A', '747')], 996480, 14), (source_686_circle_circle4, [('C', '828'), ('B', '828')], 840780, 0), (tri_source_686_circle_circle13, [('C', '713'), ('B', '747'), ('A', '713')], 155520, 0)]","[0.010126590728759766, 0.008024215698242188, 0.007725715637207031, 0.007708072662353516, 0.007715702056884766, 0.007819175720214844, 0.007793426513671875, 0.0077245235443115234, 0.008041858673095703, 0.007627010345458984]",Unknown
TSens,snap_facebook,1,q_4cycle_7de1ca,0.45299999999999996,source_348_circle_circle2,"[('c', '376'), ('d', '376')]",906,"[(source_348_circle_circle2, [('c', '376'), ('d', '376')], 906), (source_348_circle_circle8, [('d', '404'), ('a', '517')], 746), (source_348_circle_circle1, [('b', '517'), ('a', '545')], 56), (source_348_circle_circle11, [('c', '408'), ('b', '373')], 47)]","[0.45598387718200684, 0.43604469299316406, 0.3980588912963867, 0.4261634349822998, 0.46938419342041016, 0.40009379386901855, 0.48543381690979004, 0.4929664134979248, 0.4806482791900635, 0.4892599582672119]",Succeeded
Elastic,snap_facebook,1,q_4cycle_7de1ca,0.008,source_348_circle_circle2,"[('C', '376'), ('D', '376')]",225720,"[(source_348_circle_circle2, [('C', '376'), ('D', '376')], 225720, 906), (source_348_circle_circle8, [('D', '376'), ('A', '376')], 180576, 0), (source_348_circle_circle11, [('C', '376'), ('B', '376')], 71280, 0), (source_348_circle_circle1, [('B', '376'), ('A', '376')], 54720, 23)]","[0.009285688400268555, 0.007636070251464844, 0.007869720458984375, 0.007620096206665039, 0.007523536682128906, 0.0074765682220458984, 0.007195949554443359, 0.007411956787109375, 0.007142305374145508, 0.0072901248931884766]",Unknown
TSens,snap_facebook,1,q_triangle_b052f9,0.109,source_686_circle_circle9,"[('c', '828'), ('a', '828')]",24,"[(source_686_circle_circle9, [('c', '828'), ('a', '828')], 24), (source_686_circle_circle13, [('c', '828'), ('b', '828')], 20), (source_686_circle_circle0, [('b', '828'), ('a', '828')], 15)]","[0.10575509071350098, 0.11323261260986328, 0.11608481407165527, 0.11910843849182129, 0.08229207992553711, 0.19358181953430176, 0.08222794532775879, 0.07938361167907715, 0.07919120788574219, 0.12408185005187988]",Succeeded
Elastic,snap_facebook,1,q_triangle_b052f9,0.004,source_686_circle_circle13,"[('C', '713'), ('B', '747')]",2430,"[(source_686_circle_circle13, [('C', '713'), ('B', '747')], 2430, 10), (source_686_circle_circle0, [('B', '747'), ('A', '713')], 1458, 9), (source_686_circle_circle9, [('C', '828'), ('A', '747')], 1215, 14)]","[0.004755735397338867, 0.0037543773651123047, 0.0031685829162597656, 0.0033309459686279297, 0.0031549930572509766, 0.003137350082397461, 0.0037202835083007812, 0.003255128860473633, 0.0035920143127441406, 0.003447294235229492]",Unknown
TSens,snap_facebook,1,q_4star_568681,0.371,source_348_circle_circle8,"[('c', '507'), ('a', '376')]",29,"[(source_348_circle_circle8, [('c', '507'), ('a', '376')], 29), (source_348_circle_circle13, [('c', '376'), ('b', '373')], 20), (source_348_circle_circle1, [('b', '460'), ('a', '523')], 6), (tri_source_348_circle_circle11, [('c', '367'), ('b', '355'), ('a', '376')], 1)]","[0.380190372467041, 0.34612464904785156, 0.40277624130249023, 0.3644063472747803, 0.32271909713745117, 0.33378171920776367, 0.35678601264953613, 0.42360854148864746, 0.39034461975097656, 0.3896145820617676]",Succeeded
Elastic,snap_facebook,1,q_4star_568681,0.059000000000000004,source_348_circle_circle8,"[('C', '376'), ('A', '376')]",14008500,"[(source_348_circle_circle8, [('C', '376'), ('A', '376')], 14008500, 0), (source_348_circle_circle13, [('C', '376'), ('B', '376')], 8405100, 0), (source_348_circle_circle1, [('B', '376'), ('A', '376')], 4245000, 0), (tri_source_348_circle_circle11, [('C', '376'), ('B', '376'), ('A', '376')], 148500, 0)]","[0.06164073944091797, 0.058496713638305664, 0.05856776237487793, 0.058132171630859375, 0.058493614196777344, 0.058286190032958984, 0.059179067611694336, 0.05880904197692871, 0.058222055435180664, 0.05842781066894531]",Unknown
TSens,snap_facebook,1,q_4cycle_be45ed,0.115,source_686_circle_circle8,"[('c', '828'), ('d', '828')]",218,"[(source_686_circle_circle8, [('c', '828'), ('d', '828')], 218), (source_686_circle_circle9, [('d', '747'), ('a', '705')], 98), (source_686_circle_circle13, [('c', '823'), ('b', '828')], 61), (source_686_circle_circle0, [('b', '828'), ('a', '828')], 37)]","[0.11970782279968262, 0.10123419761657715, 0.18073773384094238, 0.1281743049621582, 0.09801745414733887, 0.09939718246459961, 0.10274171829223633, 0.10103011131286621, 0.11498403549194336, 0.10443973541259766]",Succeeded
Elastic,snap_facebook,1,q_4cycle_be45ed,0.005,source_686_circle_circle8,"[('C', '828'), ('D', '713')]",65610,"[(source_686_circle_circle8, [('C', '828'), ('D', '713')], 65610, 192), (source_686_circle_circle13, [('C', '828'), ('B', '828')], 31590, 0), (source_686_circle_circle0, [('B', '828'), ('A', '747')], 18954, 0), (source_686_circle_circle9, [('D', '747'), ('A', '747')], 15795, 71)]","[0.005744457244873047, 0.004594087600708008, 0.004640340805053711, 0.005072116851806641, 0.004368782043457031, 0.004363536834716797, 0.004402637481689453, 0.004357576370239258, 0.0043201446533203125, 0.004216670989990234]",Unknown
TSens,snap_facebook,1,q_4path_cb10d8,0.221,source_348_circle_circle13,"[('c', '376'), ('d', '376')]",115650,"[(source_348_circle_circle13, [('c', '376'), ('d', '376')], 115650), (source_348_circle_circle8, [('d', '376')], 77893), (source_348_circle_circle11, [('b', '376'), ('c', '376')], 13761), (source_348_circle_circle1, [('b', '376')], 3460)]","[0.2126295566558838, 0.18842840194702148, 0.24460840225219727, 0.24386262893676758, 0.24142241477966309, 0.2326653003692627, 0.21104884147644043, 0.22583842277526855, 0.2249302864074707, 0.18002820014953613]",Succeeded
