algo,arch,scale,query,reln,limit,reps,eps,pre_eps,run_eps,nosy_ans,gsens,bias_ans,true_ans,nosy_ans_list,bias_ans_list,gsens_list,avg_time,time_list
TSensDP,snap_facebook,1,q_4star_9880d9,source_686_circle_circle12,30,10,1.0,0.5,0.5,993.1737062216446,22.0,985.6,1328.0,"[563.4063148031385, 1269.4724004352768, 1129.0238178793, 303.34858722259594, 1238.593564728346, 119.56272479680233, 1347.606648228631, 1304.8821277870027, 1252.8259532829527, 1403.014923052401]","[570.0, 1238.0, 1076.0, 300.0, 1238.0, 122.0, 1328.0, 1328.0, 1328.0, 1328.0]","[8, 14, 12, 6, 14, 4, 16, 49, 37, 60]",0.475867486000061,"[0.7323195934295654, 0.41844987869262695, 0.44499635696411133, 0.43111228942871094, 0.4916698932647705, 0.48632216453552246, 0.374051570892334, 0.4278287887573242, 0.4446380138397217, 0.5072863101959229]"
PrivateSQL,snap_facebook,1,q_4star_9880d9,source_686_circle_circle12,None,10,1.0,0.5,0.5,400568.5076108457,996480.0,1328.0,1328.0,"[-963318.6208869541, -838420.7403901526, -3165114.2706556143, 513851.73940941715, 8537225.430620173, 1462905.1113277816, 2418988.4047049065, 1063355.447468047, -732230.8892681409, -4291556.536221008]","[1328, 1328, 1328, 1328, 1328, 1328, 1328, 1328, 1328, 1328]","[996480, 996480, 996480, 996480, 996480, 996480, 996480, 996480, 996480, 996480]",0.16889574527740478,"[0.16669869422912598, 0.17406129837036133, 0.1662888526916504, 0.16592764854431152, 0.16628336906433105, 0.16703367233276367, 0.16661715507507324, 0.1797804832458496, 0.16771459579467773, 0.16855168342590332]"
TSensDP,snap_facebook,1,q_4cycle_c5003f,source_348_circle_circle11,1000,10,1.0,0.5,0.5,78736.2958424495,374.4,78941.8,79207.0,"[76663.39968573398, 79224.10089516234, 78876.34212234439, 79274.81343643102, 79371.77780356696, 78989.67190192224, 79535.00241268969, 79385.82667250629, 77742.24916297504, 78299.77433116309]","[76555.0, 79207.0, 79207.0, 79207.0, 79207.0, 79207.0, 79207.0, 79207.0, 79207.0, 79207.0]","[102, 504, 289, 122, 282, 365, 831, 312, 438, 499]",0.6921481847763061,"[0.6922454833984375, 0.6612656116485596, 0.6891469955444336, 0.7310206890106201, 0.6905307769775391, 0.7080016136169434, 0.6653563976287842, 0.6802923679351807, 0.6813757419586182, 0.7222461700439453]"
PrivateSQL,snap_facebook,1,q_4cycle_c5003f,source_348_circle_circle11,None,10,1.0,0.5,0.5,117784.16456879492,148500.0,79207.0,79207.0,"[198885.96235330895, -498168.16907295387, 338888.8693073076, 342157.776700332, -70133.67990848297, 125425.6290240595, 185170.29455158394, 774548.3201657853, -120735.94500197351, -98197.41243101767]","[79207, 79207, 79207, 79207, 79207, 79207, 79207, 79207, 79207, 79207]","[148500, 148500, 148500, 148500, 148500, 148500, 148500, 148500, 148500, 148500]",1.7560555696487428,"[1.7545320987701416, 1.7619378566741943, 1.760028600692749, 1.7617697715759277, 1.7643775939941406, 1.7634801864624023, 1.7513067722320557, 1.7489399909973145, 1.7493000030517578, 1.7448828220367432]"
TSensDP,snap_facebook,1,q_4path_ad6799,source_686_circle_circle12,100000,10,1.0,0.5,0.5,1856630.0726591202,24888.4,1879111.8,2807163.0,"[2353341.033861207, 307557.72426501417, 480020.21648909146, 2696842.289573122, 2443362.0063769575, 2296904.8161734343, 1835601.3363653896, 2875376.483121964, 2616297.874109342, 660996.9462556815]","[2359284.0, 312279.0, 475192.0, 2807163.0, 2425918.0, 2231575.0, 1910003.0, 2807163.0, 2807163.0, 655378.0]","[21648, 3958, 5397, 40592, 22624, 20275, 17296, 55587, 54496, 7011]",0.9318992376327516,"[0.8418271541595459, 0.4420323371887207, 0.5020484924316406, 1.2624728679656982, 0.8817930221557617, 0.8310146331787109, 0.788787841796875, 1.6614854335784912, 1.5777249336242676, 0.5298056602478027]"
PrivateSQL,snap_facebook,1,q_4path_ad6799,source_686_circle_circle12,None,10,1.0,0.5,0.5,2825459.2159858933,155520.0,2807163.0,2807163.0,"[2560789.81730618, 3172487.604003368, 2576930.4495849744, 2742557.384906028, 2923720.61269039, 3146847.4592101546, 2791596.381984494, 2821607.9268973977, 2456841.4889524453, 3061213.034323498]","[2807163, 2807163, 2807163, 2807163, 2807163, 2807163, 2807163, 2807163, 2807163, 2807163]","[155520, 155520, 155520, 155520, 155520, 155520, 155520, 155520, 155520, 155520]",1.7205021858215332,"[1.721728801727295, 1.7273845672607422, 1.724625587463379, 1.7132363319396973, 1.716909646987915, 1.7305359840393066, 1.7205939292907715, 1.7115082740783691, 1.7150156497955322, 1.7234830856323242]"
TSensDP,snap_facebook,1,q_4star_c31edd,source_686_circle_circle4,30,10,1.0,0.5,0.5,1034.1500743847369,12.2,1043.1,1398.0,"[1219.6461754113477, 1378.1002016749878, 442.8118250469995, 1490.0271535610436, 1415.4649271271296, 926.4107459581642, 953.100955382792, 1186.4532768398099, 4.731455033856352, 1324.7540278112408]","[1219.0, 1398.0, 471.0, 1398.0, 1398.0, 963.0, 963.0, 1219.0, 4.0, 1398.0]","[8, 37, 5, 12, 12, 7, 7, 8, 1, 25]",0.5163089513778687,"[0.46018433570861816, 0.4809389114379883, 0.5198187828063965, 0.5417306423187256, 0.48113536834716797, 0.5574896335601807, 0.5132410526275635, 0.5116860866546631, 0.5327064990997314, 0.5641582012176514]"
PrivateSQL,snap_facebook,1,q_4star_c31edd,source_686_circle_circle4,None,10,1.0,0.5,0.5,1125340.6413860905,840780.0,1398.0,1398.0,"[2184196.367640994, 1085809.877140983, 699010.8482416992, 1138315.3519914306, 500204.8651074714, 887439.874239992, -300053.72903287265, 2776002.679498427, 422092.8916352797, 1860387.387397499]","[1398, 1398, 1398, 1398, 1398, 1398, 1398, 1398, 1398, 1398]","[840780, 840780, 840780, 840780, 840780, 840780, 840780, 840780, 840780, 840780]",0.18167455196380616,"[0.18207645416259766, 0.1823129653930664, 0.18146562576293945, 0.18352127075195312, 0.18023252487182617, 0.18090391159057617, 0.1808159351348877, 0.18299484252929688, 0.18001461029052734, 0.18240737915039062]"
TSensDP,snap_facebook,1,q_4cycle_7de1ca,source_348_circle_circle11,1000,10,1.0,0.5,0.5,13845.481950968364,335.5,13814.5,19737.0,"[3719.5777998704352, 22724.929515619915, 0.7250739567035729, 19816.40764141682, 1917.1583225868446, 20592.83955858843, 14185.228927847853, 19445.198926057907, 16383.452109434375, 19669.301634304356]","[3700.0, 19737.0, 1.0, 19737.0, 1926.0, 19737.0, 14096.0, 19737.0, 19737.0, 19737.0]","[15, 639, 1, 484, 12, 519, 32, 752, 807, 94]",0.5681400537490845,"[0.5666577816009521, 0.5689058303833008, 0.5199241638183594, 0.5753943920135498, 0.5979013442993164, 0.6014060974121094, 0.5651617050170898, 0.5911731719970703, 0.5453605651855469, 0.5495154857635498]"
PrivateSQL,snap_facebook,1,q_4cycle_7de1ca,source_348_circle_circle11,None,10,1.0,0.5,0.5,-91241.72946426975,71280.0,19737.0,19737.0,"[-235393.44746858865, -383486.82543402433, 62963.06937361616, 15525.65642607012, 49821.636346018626, -129549.65902645676, -73627.00593687763, -143533.10564149718, 67020.74236786291, -142158.35564882055]","[19737, 19737, 19737, 19737, 19737, 19737, 19737, 19737, 19737, 19737]","[71280, 71280, 71280, 71280, 71280, 71280, 71280, 71280, 71280, 71280]",0.8018422842025756,"[0.814194917678833, 0.8034780025482178, 0.8038454055786133, 0.8029801845550537, 0.7994265556335449, 0.8023278713226318, 0.78603196144104, 0.7916789054870605, 0.8075339794158936, 0.8069250583648682]"
