algo,arch,scale,query,reln,limit,reps,eps,pre_eps,run_eps,nosy_ans,gsens,bias_ans,true_ans,nosy_ans_list,bias_ans_list,gsens_list,avg_time,time_list
TSensDP,snap_facebook,1,q_4star_9880d9,source_686_circle_circle12,1,10,1.0,0.5,0.5,1291.2361321763813,17.1,1319.0,1328.0,"[1320.8189312572729, 1326.0288986775504, 1240.029080566861, 1301.9119374569432, 1265.4399211104571, 1377.7265895824353, 1204.4960553390313, 1275.6249276124272, 1318.30376555287, 1281.9812146079662]","[1328.0, 1328.0, 1328.0, 1328.0, 1328.0, 1328.0, 1238.0, 1328.0, 1328.0, 1328.0]","[15, 21, 15, 15, 15, 21, 14, 15, 22, 18]",0.4651869058609009,"[0.4823007583618164, 0.45168256759643555, 0.46188783645629883, 0.4839358329772949, 0.4624519348144531, 0.49529552459716797, 0.44481348991394043, 0.4716947078704834, 0.468127965927124, 0.42967844009399414]"
TSensDP,snap_facebook,1,q_4star_9880d9,source_686_circle_circle12,10,10,1.0,0.5,0.5,1258.0946075968382,19.2,1259.0,1328.0,"[1165.7647760733341, 1329.846998068116, 1310.3990228257035, 1002.8970283030282, 1008.8344786423377, 1446.002351329754, 1331.7120239380718, 1334.5602407650313, 1370.5824002577115, 1280.3467557652891]","[1328.0, 1328.0, 1238.0, 1076.0, 980.0, 1328.0, 1328.0, 1328.0, 1328.0, 1328.0]","[47, 17, 14, 12, 11, 19, 17, 15, 19, 21]",0.4510126113891602,"[0.44516730308532715, 0.40080761909484863, 0.3833158016204834, 0.4893176555633545, 0.4914264678955078, 0.4319751262664795, 0.4721105098724365, 0.48244309425354004, 0.4328901767730713, 0.48067235946655273]"
TSensDP,snap_facebook,1,q_4star_9880d9,source_686_circle_circle12,30,10,1.0,0.5,0.5,831.8614255033333,29.0,881.8,1328.0,"[566.4872526290084, 2.7578601251022934, 1064.8660395510024, 1351.5739586971915, 1232.3258688727312, 191.14656218657507, 1293.2790225326312, 424.75625709619226, 1283.6751783323123, 907.746255010585]","[570.0, 4.0, 1076.0, 1328.0, 1238.0, 192.0, 1328.0, 426.0, 1328.0, 1328.0]","[8, 1, 12, 17, 14, 5, 110, 7, 19, 97]",0.47569289207458504,"[0.40293312072753906, 0.5090904235839844, 0.465639591217041, 0.46578431129455566, 0.47765254974365234, 0.5103611946105957, 0.52359938621521, 0.4427955150604248, 0.46897292137145996, 0.4900999069213867]"
TSensDP,snap_facebook,1,q_4star_9880d9,source_686_circle_circle12,50,10,1.0,0.5,0.5,1041.455040614711,17.3,1075.6,1328.0,"[1229.397928139787, 1305.2319327576263, 1261.2072062356272, 990.5540212548343, 1208.1847242839508, 1382.0761798734238, 945.5644749863978, 1135.5790120285153, 2.326247403590393, 954.428679183356]","[1328.0, 1328.0, 1328.0, 980.0, 1238.0, 1328.0, 914.0, 1328.0, 4.0, 980.0]","[16, 15, 36, 11, 14, 23, 10, 36, 1, 11]",0.4652343511581421,"[0.43412351608276367, 0.40537047386169434, 0.45870447158813477, 0.46840834617614746, 0.470994234085083, 0.4504718780517578, 0.5115272998809814, 0.4502108097076416, 0.5146529674530029, 0.48787951469421387]"
TSensDP,snap_facebook,1,q_4star_9880d9,source_686_circle_circle12,100,10,1.0,0.5,0.5,540.0491650616175,13.2,552.8,1328.0,"[385.02482247708605, 1314.2655663759624, 1255.2755765155548, 5.656871260156246, 939.3987625885989, 4.446972069963194, 131.23909500093998, 1360.9370199943564, 0.09992612669062373, 4.147038206866395]","[426.0, 1328.0, 1328.0, 4.0, 980.0, 4.0, 122.0, 1328.0, 4.0, 4.0]","[7, 15, 23, 1, 11, 1, 4, 68, 1, 1]",0.4667324542999268,"[0.4191153049468994, 0.49373531341552734, 0.4923884868621826, 0.47431468963623047, 0.44130659103393555, 0.43865275382995605, 0.44954657554626465, 0.5079360008239746, 0.48505282402038574, 0.46527600288391113]"
TSensDP,snap_facebook,1,q_4star_9880d9,source_686_circle_circle12,1000,10,1.0,0.5,0.5,873.8040145827669,142.4,533.6,1328.0,"[4.247658607349736, -5.467138189874751, 1490.819679759962, 4.551383653483525, 5.55602950001682, 1.4283743985603676, 1.3453678208324877, 1458.922349185146, 4563.410799457308, 1213.2256416348846]","[4.0, 4.0, 1328.0, 4.0, 4.0, 4.0, 4.0, 1328.0, 1328.0, 1328.0]","[1, 1, 61, 1, 1, 1, 1, 203, 1019, 135]",0.4813381195068359,"[0.4547438621520996, 0.5108892917633057, 0.42728662490844727, 0.4954490661621094, 0.48172616958618164, 0.4534757137298584, 0.4606039524078369, 0.5062189102172852, 0.5191676616668701, 0.5038199424743652]"
TSensDP,snap_facebook,1,q_4cycle_c5003f,source_348_circle_circle11,10,10,1.0,0.5,0.5,78081.9995073652,109.8,77922.6,79207.0,"[78874.5038819705, 77253.07581110953, 79437.34064755721, 78983.49510415406, 76907.6409415953, 78813.51197227571, 78412.95645967513, 76931.42848146845, 78123.44960395496, 77082.59216989126]","[78731.0, 77072.0, 78847.0, 78731.0, 77072.0, 78731.0, 78389.0, 76864.0, 77717.0, 77072.0]","[114, 104, 116, 115, 105, 114, 113, 103, 109, 105]",0.6690216779708862,"[0.6825437545776367, 0.6801848411560059, 0.679934024810791, 0.6770281791687012, 0.6586129665374756, 0.698599100112915, 0.6165351867675781, 0.6663975715637207, 0.6489927768707275, 0.6813883781433105]"
TSensDP,snap_facebook,1,q_4cycle_c5003f,source_348_circle_circle11,100,10,1.0,0.5,0.5,77276.30410030943,113.4,77179.6,79207.0,"[76734.13847780864, 75386.40427077796, 71292.41249797436, 78860.61167542679, 78948.34767588628, 79955.66151708002, 77687.9637922639, 79295.03890204056, 75932.3077816461, 78670.15441218964]","[76555.0, 75548.0, 71499.0, 79207.0, 78965.0, 79207.0, 77499.0, 79207.0, 75946.0, 78163.0]","[102, 98, 90, 123, 119, 131, 107, 152, 100, 112]",0.6939890384674072,"[0.7132489681243896, 0.6778337955474854, 0.7022955417633057, 0.7224769592285156, 0.6124165058135986, 0.6734998226165771, 0.6759922504425049, 0.7063133716583252, 0.735724925994873, 0.7200882434844971]"
TSensDP,snap_facebook,1,q_4cycle_c5003f,source_348_circle_circle11,500,10,1.0,0.5,0.5,69485.28702443054,149.0,69675.4,79207.0,"[75026.32823530048, 78375.31316910929, 77944.09235374059, 22259.419696234585, 74601.22805897119, 79136.84630367365, 79207.07037084596, 59250.21710518738, 69847.36630245796, 79204.98864878417]","[74960.0, 79207.0, 79207.0, 22232.0, 74475.0, 79207.0, 79207.0, 59279.0, 69895.0, 79085.0]","[97, 320, 220, 49, 96, 131, 294, 75, 87, 121]",0.6943724632263184,"[0.6964726448059082, 0.7530167102813721, 0.7115368843078613, 0.6625347137451172, 0.6844468116760254, 0.6774063110351562, 0.6740701198577881, 0.6630613803863525, 0.741814374923706, 0.6793646812438965]"
TSensDP,snap_facebook,1,q_4cycle_c5003f,source_348_circle_circle11,1000,10,1.0,0.5,0.5,69995.76272391109,484.9,70238.7,79207.0,"[78844.30900815268, 79168.30435679149, 33005.83294102932, 77799.16698832, 39658.45373617571, 79002.9417901016, 79073.09918047568, 78239.87441118485, 75864.90337079554, 79300.741456084]","[79207.0, 79207.0, 32855.0, 79207.0, 39535.0, 79207.0, 79207.0, 79207.0, 75548.0, 79207.0]","[321, 715, 57, 1369, 61, 264, 258, 1379, 98, 327]",0.6750831842422486,"[0.6750764846801758, 0.7030668258666992, 0.6694800853729248, 0.6538619995117188, 0.6541304588317871, 0.6489698886871338, 0.6540648937225342, 0.7357449531555176, 0.6709766387939453, 0.6854596138000488]"
