arch,scale,query,total_output,total_input,total_repr,table_dict,avg_time,time_list,test_pass
snap_facebook,1,q_4star_9880d9,1328,8784,16220,"{'source_686_circle_circle0': {'cnt': 1306, 'attributes': {'A': {'active': 35, 'repr': 38, 'mf': 45}, 'B': {'active': 20, 'repr': 20, 'mf': 45}}, 'repr': 760}, 'source_686_circle_circle12': {'cnt': 408, 'attributes': {'C': {'active': 20, 'repr': 38, 'mf': 23}, 'B': {'active': 20, 'repr': 20, 'mf': 23}}, 'repr': 760}, 'source_686_circle_circle4': {'cnt': 2126, 'attributes': {'C': {'active': 38, 'repr': 20, 'mf': 64}, 'A': {'active': 38, 'repr': 35, 'mf': 64}}, 'repr': 700}, 'tri_source_686_circle_circle13': {'cnt': 4944, 'attributes': {'C': {'active': 41, 'repr': 20, 'mf': 346}, 'A': {'active': 41, 'repr': 35, 'mf': 346}, 'B': {'active': 41, 'repr': 20, 'mf': 346}}, 'repr': 14000}}",0.184,"[0.22168588638305664, 0.15934991836547852, 0.18487548828125, 0.20149469375610352, 0.17494630813598633, 0.1835799217224121, 0.18678617477416992, 0.17832612991333008, 0.1677873134613037, 0.17686724662780762]",Unknown
snap_facebook,1,q_4cycle_c5003f,79207,12762,38394,"{'source_348_circle_circle1': {'cnt': 6246, 'attributes': {'A': {'active': 200, 'repr': 41, 'mf': 99}, 'B': {'active': 200, 'repr': 117, 'mf': 99}}, 'repr': 4797}, 'source_348_circle_circle11': {'cnt': 4486, 'attributes': {'C': {'active': 117, 'repr': 72, 'mf': 76}, 'B': {'active': 117, 'repr': 200, 'mf': 76}}, 'repr': 14400}, 'source_348_circle_circle13': {'cnt': 1564, 'attributes': {'C': {'active': 72, 'repr': 117, 'mf': 50}, 'D': {'active': 72, 'repr': 41, 'mf': 50}}, 'repr': 4797}, 'source_348_circle_circle8': {'cnt': 466, 'attributes': {'D': {'active': 41, 'repr': 72, 'mf': 30}, 'A': {'active': 41, 'repr': 200, 'mf': 30}}, 'repr': 14400}}",0.41700000000000004,"[0.46486568450927734, 0.4245426654815674, 0.3923313617706299, 0.37645721435546875, 0.3921539783477783, 0.4689908027648926, 0.4149909019470215, 0.40412187576293945, 0.4223763942718506, 0.41376662254333496]",Unknown
snap_facebook,1,q_4path_ad6799,2807163,5422,9415,"{'source_686_circle_circle0': {'cnt': 1306, 'attributes': {'A': {'active': 70, 'repr': 0, 'mf': 45}, 'B': {'active': 70, 'repr': 35, 'mf': 45}}, 'repr': 0}, 'source_686_circle_circle12': {'cnt': 408, 'attributes': {'C': {'active': 35, 'repr': 84, 'mf': 23}, 'B': {'active': 35, 'repr': 70, 'mf': 23}}, 'repr': 5880}, 'source_686_circle_circle4': {'cnt': 2126, 'attributes': {'C': {'active': 84, 'repr': 35, 'mf': 64}, 'D': {'active': 84, 'repr': 101, 'mf': 64}}, 'repr': 3535}, 'source_686_circle_circle9': {'cnt': 1582, 'attributes': {'E': {'active': 101, 'repr': 0, 'mf': 54}, 'D': {'active': 101, 'repr': 84, 'mf': 54}}, 'repr': 0}}",0.174,"[0.1678330898284912, 0.17113685607910156, 0.1825249195098877, 0.17664861679077148, 0.1816847324371338, 0.16094350814819336, 0.1822202205657959, 0.17963910102844238, 0.1823134422302246, 0.15950751304626465]",Unknown
snap_facebook,1,q_4star_c31edd,1398,9958,12331,"{'source_686_circle_circle0': {'cnt': 1306, 'attributes': {'A': {'active': 16, 'repr': 19, 'mf': 45}, 'B': {'active': 35, 'repr': 38, 'mf': 45}}, 'repr': 722}, 'source_686_circle_circle4': {'cnt': 2126, 'attributes': {'C': {'active': 19, 'repr': 19, 'mf': 64}, 'B': {'active': 38, 'repr': 35, 'mf': 64}}, 'repr': 665}, 'source_686_circle_circle9': {'cnt': 1582, 'attributes': {'C': {'active': 19, 'repr': 19, 'mf': 54}, 'A': {'active': 19, 'repr': 16, 'mf': 54}}, 'repr': 304}, 'tri_source_686_circle_circle13': {'cnt': 4944, 'attributes': {'C': {'active': 41, 'repr': 19, 'mf': 346}, 'A': {'active': 41, 'repr': 16, 'mf': 346}, 'B': {'active': 41, 'repr': 35, 'mf': 346}}, 'repr': 10640}}",0.184,"[0.2104325294494629, 0.1977689266204834, 0.18080711364746094, 0.15396618843078613, 0.19138312339782715, 0.17543244361877441, 0.17707490921020508, 0.20434188842773438, 0.1717386245727539, 0.1732192039489746]",Unknown
snap_facebook,1,q_4cycle_7de1ca,19737,11660,19594,"{'source_348_circle_circle1': {'cnt': 6246, 'attributes': {'A': {'active': 200, 'repr': 41, 'mf': 99}, 'B': {'active': 200, 'repr': 117, 'mf': 99}}, 'repr': 4797}, 'source_348_circle_circle11': {'cnt': 4486, 'attributes': {'C': {'active': 117, 'repr': 25, 'mf': 76}, 'B': {'active': 117, 'repr': 200, 'mf': 76}}, 'repr': 5000}, 'source_348_circle_circle2': {'cnt': 462, 'attributes': {'C': {'active': 25, 'repr': 117, 'mf': 24}, 'D': {'active': 25, 'repr': 41, 'mf': 24}}, 'repr': 4797}, 'source_348_circle_circle8': {'cnt': 466, 'attributes': {'D': {'active': 41, 'repr': 25, 'mf': 30}, 'A': {'active': 41, 'repr': 200, 'mf': 30}}, 'repr': 5000}}",0.406,"[0.4226381778717041, 0.39894604682922363, 0.41630983352661133, 0.42691946029663086, 0.44478559494018555, 0.42356300354003906, 0.39107346534729004, 0.39125609397888184, 0.38846921920776367, 0.355910062789917]",Unknown
snap_facebook,1,q_triangle_b052f9,1844,3434,15107,"{'source_686_circle_circle0': {'cnt': 1306, 'attributes': {'A': {'active': 70, 'repr': 101, 'mf': 45}, 'B': {'active': 70, 'repr': 47, 'mf': 45}}, 'repr': 4747}, 'source_686_circle_circle13': {'cnt': 546, 'attributes': {'C': {'active': 47, 'repr': 101, 'mf': 27}, 'B': {'active': 47, 'repr': 70, 'mf': 27}}, 'repr': 7070}, 'source_686_circle_circle9': {'cnt': 1582, 'attributes': {'C': {'active': 101, 'repr': 47, 'mf': 54}, 'A': {'active': 101, 'repr': 70, 'mf': 54}}, 'repr': 3290}}",0.129,"[0.16242051124572754, 0.09731626510620117, 0.11482048034667969, 0.14026474952697754, 0.13741564750671387, 0.1362285614013672, 0.1038064956665039, 0.12739825248718262, 0.1352400779724121, 0.13686895370483398]",Unknown
snap_facebook,1,q_4star_568681,1369,127250,8160,"{'source_348_circle_circle1': {'cnt': 6246, 'attributes': {'A': {'active': 24, 'repr': 24, 'mf': 99}, 'B': {'active': 37, 'repr': 37, 'mf': 99}}, 'repr': 888}, 'source_348_circle_circle13': {'cnt': 1564, 'attributes': {'C': {'active': 7, 'repr': 24, 'mf': 50}, 'B': {'active': 37, 'repr': 37, 'mf': 50}}, 'repr': 888}, 'source_348_circle_circle8': {'cnt': 466, 'attributes': {'C': {'active': 24, 'repr': 7, 'mf': 30}, 'A': {'active': 24, 'repr': 24, 'mf': 30}}, 'repr': 168}, 'tri_source_348_circle_circle11': {'cnt': 118974, 'attributes': {'C': {'active': 116, 'repr': 7, 'mf': 2830}, 'A': {'active': 116, 'repr': 24, 'mf': 2830}, 'B': {'active': 116, 'repr': 37, 'mf': 2830}}, 'repr': 6216}}",0.195,"[0.20993876457214355, 0.18426179885864258, 0.1762714385986328, 0.15672612190246582, 0.20322847366333008, 0.20062565803527832, 0.2094132900238037, 0.1942136287689209, 0.2075974941253662, 0.21247053146362305]",Unknown
snap_facebook,1,q_4cycle_be45ed,3825,3570,13134,"{'source_686_circle_circle0': {'cnt': 1306, 'attributes': {'A': {'active': 70, 'repr': 101, 'mf': 45}, 'B': {'active': 70, 'repr': 47, 'mf': 45}}, 'repr': 4747}, 'source_686_circle_circle13': {'cnt': 546, 'attributes': {'C': {'active': 47, 'repr': 26, 'mf': 27}, 'B': {'active': 47, 'repr': 70, 'mf': 27}}, 'repr': 1820}, 'source_686_circle_circle8': {'cnt': 136, 'attributes': {'C': {'active': 26, 'repr': 47, 'mf': 13}, 'D': {'active': 26, 'repr': 101, 'mf': 13}}, 'repr': 4747}, 'source_686_circle_circle9': {'cnt': 1582, 'attributes': {'D': {'active': 101, 'repr': 26, 'mf': 54}, 'A': {'active': 101, 'repr': 70, 'mf': 54}}, 'repr': 1820}}",0.128,"[0.13400602340698242, 0.1037287712097168, 0.0919656753540039, 0.152024507522583, 0.13777399063110352, 0.13901734352111816, 0.10152125358581543, 0.138291597366333, 0.13467621803283691, 0.14579224586486816]",Unknown
snap_facebook,1,q_4path_cb10d8,9256927,12762,19197,"{'source_348_circle_circle1': {'cnt': 6246, 'attributes': {'A': {'active': 200, 'repr': 0, 'mf': 99}, 'B': {'active': 200, 'repr': 117, 'mf': 99}}, 'repr': 0}, 'source_348_circle_circle11': {'cnt': 4486, 'attributes': {'C': {'active': 117, 'repr': 72, 'mf': 76}, 'B': {'active': 117, 'repr': 200, 'mf': 76}}, 'repr': 14400}, 'source_348_circle_circle13': {'cnt': 1564, 'attributes': {'C': {'active': 72, 'repr': 117, 'mf': 50}, 'D': {'active': 72, 'repr': 41, 'mf': 50}}, 'repr': 4797}, 'source_348_circle_circle8': {'cnt': 466, 'attributes': {'E': {'active': 41, 'repr': 0, 'mf': 30}, 'D': {'active': 41, 'repr': 72, 'mf': 30}}, 'repr': 0}}",0.174,"[0.18234801292419434, 0.1713573932647705, 0.18708348274230957, 0.18299055099487305, 0.12114739418029785, 0.18703484535217285, 0.16005873680114746, 0.178452730178833, 0.19847345352172852, 0.17459821701049805]",Unknown
snap_facebook,1,q_4star_19e532,1557,147090,19061,"{'source_348_circle_circle11': {'cnt': 4486, 'attributes': {'A': {'active': 24, 'repr': 41, 'mf': 76}, 'B': {'active': 37, 'repr': 72, 'mf': 76}}, 'repr': 2952}, 'source_348_circle_circle13': {'cnt': 1564, 'attributes': {'C': {'active': 16, 'repr': 41, 'mf': 50}, 'B': {'active': 72, 'repr': 37, 'mf': 50}}, 'repr': 1517}, 'source_348_circle_circle8': {'cnt': 466, 'attributes': {'C': {'active': 41, 'repr': 16, 'mf': 30}, 'A': {'active': 41, 'repr': 24, 'mf': 30}}, 'repr': 384}, 'tri_source_348_circle_circle1': {'cnt': 140574, 'attributes': {'C': {'active': 194, 'repr': 16, 'mf': 3426}, 'A': {'active': 194, 'repr': 24, 'mf': 3426}, 'B': {'active': 194, 'repr': 37, 'mf': 3426}}, 'repr': 14208}}",0.19899999999999998,"[0.24474596977233887, 0.20119071006774902, 0.17370843887329102, 0.2149810791015625, 0.24269628524780273, 0.16945695877075195, 0.16552972793579102, 0.21006989479064941, 0.2090132236480713, 0.15750908851623535]",Unknown
