algo,arch,scale,query,reln,limit,reps,eps,pre_eps,run_eps,nosy_ans,gsens,bias_ans,true_ans,nosy_ans_list,bias_ans_list,gsens_list,avg_time,time_list
TSensDP,snap_facebook,1,q_4cycle_60533f,source_348_circle_4d72cf,10,20,1.0,0.5,0.5,139553.07722322087,164.55,139674.55,142903.0,"[139597.3548518635, 138439.73218582215, 135428.67760343628, 139336.56399388754, 141062.057888474, 140297.4459964566, 139746.21419544175, 139575.05757737494, 140190.11422178362, 139746.73297583446, 139819.82706808962, 140960.33253912922, 140607.3744596676, 139409.65423806815, 139192.2471458874, 139678.52116363318, 140348.4487161237, 138392.5321211416, 140585.72307850205, 138646.9324438005]","[139783.0, 138823.0, 135483.0, 139619.0, 141697.0, 139783.0, 138981.0, 139299.0, 140618.0, 139783.0, 139619.0, 141143.0, 140618.0, 139619.0, 139299.0, 139619.0, 140618.0, 138354.0, 140618.0, 140115.0]","[164, 157, 146, 162, 189, 165, 158, 159, 171, 165, 163, 176, 170, 161, 159, 160, 173, 154, 173, 166]",0.8022550463676452,"[0.7705550193786621, 0.7976944446563721, 0.7680683135986328, 0.745434045791626, 0.8016684055328369, 0.7626030445098877, 0.7990219593048096, 0.799717903137207, 0.7433910369873047, 0.7380609512329102, 0.797602653503418, 0.8369648456573486, 0.8931334018707275, 0.7936387062072754, 0.778296709060669, 0.7974145412445068, 0.932614803314209, 0.8582894802093506, 0.8048305511474609, 0.8261001110076904]"
TSensDP,snap_facebook,1,q_4cycle_60533f,source_348_circle_4d72cf,100,20,1.0,0.5,0.5,139633.64636098762,166.9,139600.15,142903.0,"[135804.22226101454, 139379.94461104472, 142463.73357410514, 137877.50773376712, 140549.45604224424, 139409.86709621892, 132337.48122869417, 140457.7394222275, 138698.87511376696, 142983.41813107434, 139988.91895226165, 141392.12480020657, 141497.00384051647, 141392.75533883742, 137962.76374675054, 141377.1847147389, 139013.78277266267, 139358.5914966134, 140531.85888082813, 140195.69746217897]","[135483.0, 139783.0, 141697.0, 137892.0, 140618.0, 139619.0, 132495.0, 140282.0, 138509.0, 141509.0, 140618.0, 141509.0, 141143.0, 141509.0, 137892.0, 141143.0, 139783.0, 139619.0, 140618.0, 140282.0]","[146, 165, 188, 153, 168, 162, 137, 167, 155, 183, 171, 185, 176, 185, 153, 177, 164, 163, 173, 167]",0.7890471816062927,"[0.8074934482574463, 0.8150806427001953, 0.7793536186218262, 0.7498254776000977, 0.7989723682403564, 0.7744777202606201, 0.8565373420715332, 0.8522477149963379, 0.7571251392364502, 0.8182244300842285, 0.7886667251586914, 0.7697346210479736, 0.816511869430542, 0.7247378826141357, 0.7538585662841797, 0.7764327526092529, 0.7919225692749023, 0.7266623973846436, 0.8095064163208008, 0.8135719299316406]"
TSensDP,snap_facebook,1,q_4cycle_60533f,source_348_circle_4d72cf,500,20,1.0,0.5,0.5,136987.5596526386,271.0,138031.35,142903.0,"[143003.07108158048, 142702.4082806196, 134004.52377850487, 118906.61572018446, 138716.62660256732, 139033.5482017619, 142263.99319220366, 132515.0480203131, 131615.37398711534, 140859.32102066922, 131047.45943431462, 139305.13419401477, 138674.29284495433, 140546.4367852817, 140014.55378688383, 142382.85633988012, 130495.08268751699, 132286.98533085446, 138637.07475156576, 142740.7870119851]","[142903.0, 142691.0, 134042.0, 119042.0, 138823.0, 139619.0, 142903.0, 132633.0, 131688.0, 142903.0, 131160.0, 142903.0, 138823.0, 140967.0, 139783.0, 142482.0, 142903.0, 132633.0, 138823.0, 142903.0]","[275, 209, 142, 107, 157, 161, 334, 138, 132, 422, 131, 414, 157, 175, 165, 205, 1388, 138, 157, 413]",0.8120314598083496,"[0.812767505645752, 0.8021478652954102, 0.7834491729736328, 0.7894651889801025, 0.7692766189575195, 0.8288190364837646, 0.8144617080688477, 1.0728709697723389, 0.8196566104888916, 0.8580117225646973, 0.8684968948364258, 0.742255449295044, 0.7501175403594971, 0.7846996784210205, 0.7965273857116699, 0.7474105358123779, 0.837852954864502, 0.7893071174621582, 0.7988302707672119, 0.7742049694061279]"
TSensDP,snap_facebook,1,q_4cycle_60533f,source_348_circle_4d72cf,1000,20,1.0,0.5,0.5,125854.34798066695,326.25,125482.85,142903.0,"[126492.52692480666, 80728.9861989425, 141130.5184491065, 142580.9010755617, 140557.65087916816, 144976.08856336903, 133059.85701639685, 131647.14388707606, 59165.53561761478, 147083.38940037903, 143258.08592774541, 61170.41715034321, 134551.20545655824, 135330.66153720286, 145718.24832756398, 142207.60634240697, 110705.4167014651, 143830.1929909142, 126610.20207097405, 126282.32509574371]","[126595.0, 80808.0, 141697.0, 142903.0, 140282.0, 142903.0, 133616.0, 132223.0, 59422.0, 142903.0, 142903.0, 61072.0, 134614.0, 135483.0, 142903.0, 142280.0, 110591.0, 142903.0, 126961.0, 126595.0]","[121, 76, 190, 301, 167, 621, 141, 135, 65, 594, 1337, 66, 143, 146, 1055, 197, 97, 830, 122, 121]",0.7911674499511718,"[0.8184232711791992, 0.760589599609375, 0.8093912601470947, 0.7967042922973633, 0.8001585006713867, 0.7283391952514648, 0.815619945526123, 0.8001725673675537, 0.8221802711486816, 0.8049497604370117, 0.8680305480957031, 0.7714295387268066, 0.7951390743255615, 0.7380571365356445, 0.7850258350372314, 0.7274825572967529, 0.8021371364593506, 0.7723956108093262, 0.805598258972168, 0.8015246391296387]"
TSensDP,snap_facebook,1,q_4cycle_60533f,source_348_circle_4d72cf,1500,20,1.0,0.5,0.5,127596.24098901845,413.3,127484.0,142903.0,"[93575.90261151179, 99066.05882914308, 130913.79986964032, 144920.02814951653, 145557.4690270017, 92260.1453829, 116061.5299065069, 142995.25152818675, 130573.69362912312, 146588.93035855802, 111601.2865396097, 131468.74150359, 107773.41410255004, 142828.24562576876, 128250.11072974149, 142766.97780939113, 149591.70668740902, 113310.11861633442, 142176.15913830197, 139645.24973558457]","[93904.0, 98983.0, 130898.0, 142903.0, 142903.0, 92224.0, 116099.0, 142903.0, 130508.0, 142903.0, 111669.0, 142903.0, 107706.0, 142903.0, 128584.0, 142903.0, 142903.0, 113359.0, 142903.0, 139619.0]","[84, 87, 130, 407, 615, 83, 102, 373, 129, 740, 98, 2594, 94, 258, 126, 682, 944, 100, 458, 162]",0.8002086758613587,"[1.1657142639160156, 0.7760391235351562, 0.7880463600158691, 0.7426180839538574, 0.8386425971984863, 0.7808144092559814, 0.7414491176605225, 0.7964885234832764, 0.7478437423706055, 0.7770063877105713, 0.787987232208252, 0.7961270809173584, 0.7608516216278076, 0.7754275798797607, 0.7845077514648438, 0.8010768890380859, 0.8163630962371826, 0.7795605659484863, 0.7784550189971924, 0.7691540718078613]"
TSensDP,snap_facebook,1,q_4cycle_60533f,source_348_circle_4d72cf,10000,20,1.0,0.5,0.5,99715.81174820363,1776.45,98313.7,142903.0,"[138584.42120962395, 14.69733937069822, 142509.19266583875, 142412.7042575863, 26123.05781377623, 84829.94427085303, 12.917489708952914, 16.08947002486626, 152331.33424876537, 164399.5525015454, 134594.9109541854, 129589.1547976831, 133126.22521469393, 9.383736956951843, 84831.60968531572, 133483.1576422209, 145221.42735847528, 111879.87558415369, 95297.56958172079, 175049.00914157362]","[142903.0, 15.0, 142903.0, 142903.0, 26174.0, 84689.0, 15.0, 15.0, 142903.0, 142903.0, 134614.0, 142903.0, 142903.0, 15.0, 84689.0, 142903.0, 142903.0, 111669.0, 95349.0, 142903.0]","[2012, 1, 2969, 761, 46, 78, 1, 1, 5416, 6975, 143, 3774, 4927, 1, 78, 3054, 318, 98, 85, 4791]",0.8370302557945252,"[0.7971363067626953, 0.8283638954162598, 0.8616535663604736, 0.8057520389556885, 0.8153519630432129, 0.8496139049530029, 0.7890920639038086, 0.81986403465271, 0.8756225109100342, 0.924508810043335, 0.7219064235687256, 0.8533909320831299, 1.1014835834503174, 0.8052108287811279, 0.8088417053222656, 0.8560910224914551, 0.7510828971862793, 0.803215742111206, 0.7476198673248291, 0.9248030185699463]"
TSensDP,snap_facebook,1,q_4star_0ffe47,source_348_circle_4d72cf,1,20,1.0,0.5,0.5,736.1684539563637,13.4,740.8,786.0,"[760.0870242139015, 788.4870568609629, 597.2833875097787, 768.9034305260152, 849.9363102345957, 758.3494319343937, 697.3077872669458, 769.8004447640793, 674.5216498788272, 735.6211764804345, 750.3504009026132, 681.2516758772748, 688.9193265760503, 784.479323281601, 562.7800765730094, 774.5128342871086, 801.7529457645305, 675.0240781389122, 772.6434682030438, 831.3572498531972]","[786.0, 773.0, 587.0, 761.0, 761.0, 773.0, 706.0, 761.0, 686.0, 761.0, 706.0, 686.0, 706.0, 786.0, 786.0, 773.0, 786.0, 686.0, 773.0, 773.0]","[26, 12, 7, 11, 11, 12, 10, 11, 9, 11, 10, 9, 10, 22, 39, 12, 13, 9, 12, 12]",0.665930449962616,"[0.6471951007843018, 0.6390330791473389, 0.6928815841674805, 0.6549243927001953, 0.631188154220581, 0.7014851570129395, 0.6531181335449219, 0.6668226718902588, 0.674468994140625, 0.6984896659851074, 0.6481282711029053, 0.7009408473968506, 0.6497676372528076, 0.6932768821716309, 0.6606817245483398, 0.6586518287658691, 0.6275393962860107, 0.690467357635498, 0.714346170425415, 0.6152019500732422]"
TSensDP,snap_facebook,1,q_4star_0ffe47,source_348_circle_4d72cf,10,20,1.0,0.5,0.5,707.8946070550413,18.15,693.0,786.0,"[789.2156998703477, 803.6234134099867, 351.11260820959023, 759.8202425526604, 710.1601694418916, 755.0849396755302, 854.678327117868, 352.5355097107933, 917.0557867481303, 581.2963715212413, 667.569692006668, 775.5979434198373, 750.4198684860648, 807.9994744671767, 806.927902357657, 808.8972740482286, 798.6679683319425, 623.0067019038755, 776.0213257562525, 468.20092206508724]","[786.0, 786.0, 357.0, 786.0, 706.0, 761.0, 786.0, 357.0, 786.0, 587.0, 659.0, 786.0, 761.0, 773.0, 786.0, 786.0, 786.0, 587.0, 786.0, 452.0]","[20, 17, 4, 75, 10, 11, 70, 4, 26, 7, 8, 17, 11, 12, 16, 14, 15, 7, 14, 5]",0.6774707198143005,"[0.7110586166381836, 0.6909081935882568, 0.7076060771942139, 0.636113166809082, 0.7152624130249023, 0.7330539226531982, 0.6354126930236816, 0.6172809600830078, 0.6691193580627441, 0.6545007228851318, 0.6548826694488525, 0.6784675121307373, 0.6904690265655518, 0.6344950199127197, 0.7002773284912109, 0.6826572418212891, 0.6802985668182373, 0.6782853603363037, 0.6500225067138672, 0.7292430400848389]"
TSensDP,snap_facebook,1,q_4star_0ffe47,source_348_circle_4d72cf,30,20,1.0,0.5,0.5,576.6533834067621,18.1,574.0,786.0,"[779.7387592002904, 663.0995401335391, 732.9727129245026, 643.5766596556639, 756.5805053790219, 775.1546706909605, 455.8490410481217, 620.074948575447, 360.72993272727734, 695.5825739528267, 586.0702584324002, 440.36421211426745, 784.2839928853177, 12.985787904889163, 955.5490035774078, 13.570676848918406, 10.229829391895993, 789.5028801409045, 697.0366011724203, 760.1150813791718]","[786.0, 786.0, 706.0, 659.0, 786.0, 773.0, 452.0, 587.0, 357.0, 686.0, 587.0, 452.0, 786.0, 11.0, 786.0, 11.0, 11.0, 786.0, 686.0, 786.0]","[13, 18, 10, 8, 138, 12, 5, 7, 4, 9, 7, 5, 14, 1, 30, 1, 1, 28, 9, 42]",0.6763031005859375,"[0.6652326583862305, 0.6477451324462891, 0.6922125816345215, 0.6927225589752197, 0.6651732921600342, 0.6850578784942627, 0.6805393695831299, 0.6705596446990967, 0.7140181064605713, 0.6749165058135986, 0.6550776958465576, 0.6669869422912598, 0.7126033306121826, 0.7059993743896484, 0.6186177730560303, 0.698096513748169, 0.731060266494751, 0.6845893859863281, 0.6511223316192627, 0.6137306690216064]"
TSensDP,snap_facebook,1,q_4star_0ffe47,source_348_circle_4d72cf,50,20,1.0,0.5,0.5,415.0959114242434,46.35,413.4,786.0,"[797.732558387831, 10.310776781373116, 997.9048087457792, 117.40199270431076, 703.4343561917326, 1035.4391567152368, 903.3679514635172, 174.15133269857404, 8.594684632305878, 9.609643598725436, 917.360527175702, 336.354815924463, 813.0233867284464, 47.6211266597199, 8.396376261471854, 353.16175383133674, 2.8722236842767668, 367.84583624577374, 686.3884433170252, 10.946476737263959]","[786.0, 11.0, 786.0, 137.0, 786.0, 786.0, 786.0, 786.0, 11.0, 11.0, 786.0, 357.0, 786.0, 47.0, 11.0, 357.0, 11.0, 357.0, 659.0, 11.0]","[64, 1, 266, 3, 52, 151, 54, 190, 1, 1, 47, 4, 72, 2, 1, 4, 1, 4, 8, 1]",0.6777156233787537,"[0.6328086853027344, 0.6950483322143555, 0.6477034091949463, 0.6845908164978027, 0.6775898933410645, 0.6810669898986816, 0.6992125511169434, 0.6446959972381592, 0.7168474197387695, 0.709693193435669, 0.6520864963531494, 0.6951265335083008, 0.6612048149108887, 0.6841907501220703, 0.7188115119934082, 0.7236621379852295, 0.6368868350982666, 0.6250495910644531, 0.69889235496521, 0.6691441535949707]"
